x z
-4.402 20.306
-4.526 19.956
-4.679 19.647
-4.858 19.381
-5.066 19.163
-5.302 18.996
-5.565 18.888
-5.857 18.842
-6.178 18.866
-6.526 18.966
-6.902 19.150
-7.305 19.424
-7.732 19.797
-8.182 20.273
-8.650 20.859
-9.132 21.558
-9.621 22.369
-10.109 23.288
-10.587 24.307
-11.044 25.411
-11.468 26.578
-11.846 27.780
-12.164 28.985
-12.410 30.154
-12.572 31.249
-12.643 32.232
-12.615 33.069
-12.488 33.733
-12.264 34.208
-11.948 34.487
-11.551 34.574
-11.086 34.480
-10.566 34.226
-10.008 33.833
-9.427 33.327
-8.837 32.733
-8.253 32.073
-7.684 31.366
-7.140 30.630
-6.628 29.878
-6.154 29.121
-5.721 28.367
-5.331 27.622
-4.985 26.890
-4.682 26.175
-4.422 25.478
-4.204 24.803
-4.024 24.148
-3.883 23.517
-3.777 22.910
-3.705 22.327
-3.665 21.769
-3.656 21.239
-3.677 20.736
-3.726 20.262
-3.803 19.820
-3.908 19.411
-4.039 19.037
-4.198 18.702
-4.384 18.409
-4.598 18.162
-4.841 17.966
-5.112 17.825
-5.414 17.747
-5.745 17.738
-6.108 17.806
-6.501 17.958
-6.925 18.205
-7.379 18.555
-7.860 19.018
-8.367 19.601
-8.894 20.311
-9.436 21.153
-9.985 22.126
-10.531 23.224
-11.063 24.436
-11.567 25.741
-12.028 27.111
-12.430 28.509
-12.756 29.891
-12.992 31.208
-13.125 32.413
-13.146 33.459
-13.050 34.310
-12.837 34.940
-12.514 35.336
-12.090 35.499
-11.581 35.444
-11.003 35.192
-10.375 34.773
-9.716 34.219
-9.045 33.561
-8.376 32.827
-7.724 32.042
-7.101 31.227
-6.514 30.397
-5.970 29.565
-5.472 28.740
-5.023 27.928
-4.623 27.133
-4.272 26.358
-3.968 25.605
-3.709 24.875
-3.493 24.167
-3.317 23.484
-3.178 22.824
-3.074 22.189
-3.003 21.578
-2.963 20.991
-2.952 20.430
-2.969 19.895
-3.012 19.387
-3.080 18.906
-3.174 18.455
-3.293 18.035
-3.437 17.648
-3.607 17.298
-3.803 16.986
-4.026 16.718
-4.277 16.498
-4.558 16.331
-4.870 16.224
-5.214 16.184
-5.592 16.220
-6.005 16.342
-6.453 16.560
-6.936 16.886
-7.454 17.333
-8.005 17.912
-8.586 18.635
-9.192 19.512
-9.815 20.547
-10.446 21.743
-11.073 23.090
-11.680 24.573
-12.250 26.162
-12.762 27.818
-13.197 29.490
-13.533 31.115
-13.752 32.631
-13.840 33.973
-13.787 35.088
-13.590 35.934
-13.254 36.489
-12.791 36.752
-12.218 36.737
-11.555 36.475
-10.827 36.005
-10.058 35.369
-9.271 34.610
-8.486 33.765
-7.720 32.867
-6.989 31.941
-6.301 31.006
-5.664 30.077
-5.082 29.163
-4.557 28.270
-4.090 27.401
-3.678 26.558
-3.319 25.743
-3.010 24.954
-2.747 24.191
-2.528 23.454
-2.347 22.742
-2.203 22.055
-2.091 21.391
-2.009 20.750
-1.953 20.132
-1.923 19.537
-1.916 18.963
-1.931 18.413
-1.966 17.884
-2.021 17.379
-2.095 16.896
-2.189 16.438
-2.303 16.005
-2.436 15.599
-2.591 15.220
-2.768 14.872
-2.968 14.558
-3.194 14.280
-3.446 14.042
-3.728 13.852
-4.041 13.713
-4.388 13.635
-4.771 13.626
-5.193 13.697
-5.656 13.860
-6.162 14.130
-6.712 14.524
-7.308 15.057
-7.947 15.750
-8.628 16.621
-9.345 17.686
